"quartile.25.","quartile.50.","quartile.75.","quartile.100.","mean","sd","bases","data","log.1.quartile.25.","log.1.quartile.50.","log.1.quartile.75.","log.1.quartile.100.","log.1.mean","log.1.sd","log.1.bases","log.1.data","log.quartile.75.","log.quartile.100.","log.mean","log.sd","log.bases","log.data","log.log.quartile.100.","log.log.mean","log.log.sd","log.log.bases","log.log.data"
"ATAC_JV_adipose/samples/AC1/MSC83/problems/chr12:145739-7189876",2,4,7,1513,7.790955656,28.21484797,7044137,581460,1.098612289,1.609437912,2.079441542,7.322510434,2.173723427,3.374677072,15.76770634,13.27329918,1.945910149,7.321849714,2.05296353,3.339848363,15.7677062,13.27329746,1.990862989,0.719284373,1.205925406,2.757963937,2.585754307
"ATAC_JV_adipose/samples/AC1/MSC83/problems/chr14:19050000-107289540",0,2,5,1785,4.893108532,21.9468306,88239540,4909253,0,1.098612289,1.791759469,7.487733761,1.773783623,3.133179827,18.29556573,15.40663255,1.609437912,7.487173694,1.587827793,3.088622737,18.29556572,15.40663235,2.013191382,0.462366914,1.127725275,2.90665872,2.734798089
"ATAC_JV_adipose/samples/AC1/MSC83/problems/chr16:46510000-88389383",1,3,6,1348,6.056458377,23.58889591,41879383,2819124,0.693147181,1.386294361,1.945910149,7.207118856,1.953943279,3.202294955,17.55030424,14.85193711,1.791759469,7.206377291,1.801125203,3.160776089,17.55030421,14.85193676,1.974966369,0.588411582,1.150817595,2.865071284,2.698130278
"ATAC_JV_adipose/samples/AC1/MSC83/problems/chr3:60000-66170270",1,2,5,1830,5.032277935,19.97366134,66110270,3857213,0.693147181,1.098612289,1.791759469,7.512617545,1.797124706,3.043267429,18.00683468,15.16545572,1.609437912,7.512071246,1.615872751,2.994414473,18.00683466,15.16545546,2.016511226,0.479875214,1.096748711,2.890751389,2.719020174
"ATAC_JV_adipose/samples/AC1/MSC83/problems/chrX:37148256-49242997",1,2,4,1001,4.29801159,15.91574008,12094741,637391,0.693147181,1.098612289,1.609437912,6.909753282,1.667331579,2.828244554,16.30828137,13.36514013,1.386294361,6.908754779,1.458152495,2.767308562,16.30828129,13.36513856,1.932789416,0.37717022,1.01787521,2.791673033,2.592649717
"ATAC_JV_adipose/samples/AC1/MSC91/problems/chr12:145739-7189876",1,3,5,1262,7.139110014,27.27571258,7044137,524014,0.693147181,1.386294361,1.791759469,7.141245122,2.096680839,3.342003223,15.76770634,13.16927559,1.609437912,7.140453043,1.965588121,3.305996657,15.7677062,13.16927368,1.965776226,0.675791499,1.195737988,2.757963937,2.577886365
"ATAC_JV_adipose/samples/AC1/MSC91/problems/chr14:19050000-107289540",1,2,4,1618,4.807095334,21.57684085,88239540,4807124,0.693147181,1.098612289,1.609437912,7.389563954,1.759080503,3.11692464,18.29556573,15.38560975,1.386294361,7.388946098,1.570093021,3.071620556,18.29556572,15.38560954,1.999985113,0.451134867,1.122205291,2.90665872,2.733432627
"ATAC_JV_adipose/samples/AC1/MSC91/problems/chr16:46510000-88389383",1,3,5,1174,5.730453288,22.77746821,41879383,2656217,0.693147181,1.386294361,1.791759469,7.069023427,1.906642495,3.168738419,17.55030424,14.79241386,1.609437912,7.068172,1.745794635,3.125771811,17.55030421,14.79241349,1.955601889,0.55720983,1.139681232,2.865071284,2.694114447
"ATAC_JV_adipose/samples/AC1/MSC91/problems/chr1:206482221-223747846",1,2,4,951,4.788197647,17.9327013,17265625,956740,0.693147181,1.098612289,1.609437912,6.858565035,1.755820956,2.940890654,16.66422815,13.771288,1.386294361,6.857514063,1.566154067,2.886625934,16.66422809,13.77128695,1.925344995,0.448622975,1.060088323,2.813264391,2.622585769
"ATAC_JV_adipose/samples/AC1/MSC91/problems/chr3:60000-66170270",1,2,4,1627,4.97214454,20.30293711,66110270,3768077,0.693147181,1.098612289,1.609437912,7.395107547,1.787106082,3.058844956,18.00683468,15.14207562,1.386294361,7.394493107,1.603851244,3.010765561,18.00683466,15.14207535,2.000735548,0.472407764,1.102194386,2.890751389,2.717477316
"ATAC_JV_adipose/samples/AC1/MSC91/problems/chrX:37148256-49242997",1,2,4,867,4.161802555,15.50472583,12094741,614187,0.693147181,1.098612289,1.609437912,6.766191715,1.641285851,2.803646754,16.30828137,13.32805635,1.386294361,6.765038977,1.425948287,2.74114487,16.30828129,13.32805472,1.911768023,0.354837057,1.008375669,2.791673033,2.589871191
"ATAC_JV_adipose/samples/AC2/MSC70/problems/chr10:51448845-125869472",2,5,8,1020,6.632846549,13.54569147,74420627,6268518,1.098612289,1.791759469,2.197224577,6.928537818,2.032460849,2.677294831,18.12524372,15.65105068,2.079441542,6.927557906,1.892034056,2.606068524,18.12524371,15.65105052,1.935507357,0.63765247,0.957842773,2.897305646,2.750538041
"ATAC_JV_adipose/samples/AC2/MSC70/problems/chr12:145739-7189876",3,6,10,953,9.100048168,18.39332223,7044137,770080,1.386294361,1.945910149,2.397895273,6.860663671,2.312540193,2.964928792,15.76770634,13.55425098,2.302585093,6.859614904,2.208279707,2.911987677,15.7677062,13.55424968,1.925651304,0.792213799,1.068835898,2.757963937,2.606700128
"ATAC_JV_adipose/samples/AC2/MSC70/problems/chr12:66500000-109373470",2,4,7,742,5.56529791,11.18426908,42873470,3108146,1.098612289,1.609437912,2.079441542,6.610696045,1.881797885,2.5001457,17.5737638,14.94953729,1.945910149,6.609349243,1.716550516,2.414508245,17.57376378,14.94953696,1.888485199,0.540316763,0.881495641,2.866407095,2.704680327
"ATAC_JV_adipose/samples/AC2/MSC70/problems/chr14:19050000-107289540",2,5,8,1179,6.440265543,13.8396462,88239540,7254954,1.098612289,1.791759469,2.197224577,7.073269717,2.006906539,2.697302396,18.29556573,15.79719524,2.079441542,7.072421901,1.862569773,2.627537386,18.29556572,15.7971951,1.956202981,0.621957132,0.966047052,2.90665872,2.759832399
"ATAC_JV_adipose/samples/AC2/MSC70/problems/chr16:46510000-88389383",3,5,9,809,7.491695233,14.98041395,41879383,3935642,1.386294361,1.791759469,2.302585093,6.697034248,2.139088655,2.771363844,17.55030424,15.18558483,2.197224577,6.695798917,2.013795105,2.706743611,17.55030421,15.18558458,1.901480302,0.700021054,0.995746293,2.865071284,2.720346595
"ATAC_JV_adipose/samples/AC2/MSC70/problems/chr1:206482221-223747846",2,5,8,677,6.373041868,12.40886187,17265625,1410220,1.098612289,1.791759469,2.197224577,6.519147288,1.997830358,2.595915822,16.66422815,14.15925699,2.079441542,6.517671273,1.852076886,2.518410884,16.66422809,14.15925628,1.874517145,0.61630765,0.923628101,2.813264391,2.650368564
"ATAC_JV_adipose/samples/AC2/MSC70/problems/chr22:20700000-50364777",4,7,11,1067,9.432856313,19.22130179,29664777,3363825,1.609437912,2.079441542,2.48490665,6.97354302,2.344960087,3.006736593,17.20547097,15.02858957,2.397895273,6.972606251,2.244198947,2.956019132,17.20547094,15.02858928,1.941989079,0.808348641,1.083843475,2.845227411,2.709954339
"ATAC_JV_adipose/samples/AC2/MSC70/problems/chr2:162200000-234003741",2,4,7,756,5.767685851,11.41451926,71803741,5374259,1.098612289,1.609437912,2.079441542,6.629363253,1.912159204,2.518866696,18.08944715,15.49713145,1.945910149,6.628041376,1.752270934,2.434886164,18.08944714,15.49713126,1.891309342,0.560912623,0.889900006,2.895328737,2.740654927
"ATAC_JV_adipose/samples/AC2/MSC70/problems/chr3:60000-66170270",3,5,8,882,6.813121501,13.16987475,66110270,5763179,1.386294361,1.791759469,2.197224577,6.783325201,2.055804564,2.651118214,18.00683468,15.56699996,2.079441542,6.782192056,1.918850385,2.577932005,18.00683466,15.56699979,1.914300362,0.651726249,0.946987529,2.890751389,2.745153276
"ATAC_JV_adipose/samples/AC2/MSC70/problems/chr6:60000-58087659",2,4,8,859,6.34062751,13.29046836,58027659,4638836,1.098612289,1.609437912,2.197224577,6.756932389,1.993424331,2.659592767,17.87643035,15.34997425,2.079441542,6.755768922,1.84697774,2.587047114,17.87643033,15.34997403,1.910396795,0.613550649,0.950517115,2.883483104,2.731113782
"ATAC_JV_adipose/samples/AC2/MSC70/problems/chr8:48135599-86500000",2,4,7,838,5.219365161,8.835242661,38364401,2705130,1.098612289,1.609437912,2.079441542,6.732210706,1.827667837,2.285972125,17.46264056,14.8106609,1.945910149,6.7310181,1.652375778,2.178748571,17.46264053,14.81066053,1.90672641,0.502214118,0.778750662,2.860063772,2.695347227
"ATAC_JV_adipose/samples/AC2/MSC70/problems/chr8:87000000-142766515",2,4,7,774,5.980100083,11.23241541,55766515,4345537,1.098612289,1.609437912,2.079441542,6.652863029,1.943063255,2.504089429,17.83668418,15.28466013,1.945910149,6.651571874,1.788437304,2.418803831,17.83668416,15.2846599,1.894853199,0.581342224,0.883273133,2.881257244,2.726849704
"ATAC_JV_adipose/samples/AC2/MSC70/problems/chrX:37148256-49242997",2,5,8,522,6.180541857,10.48857274,12094741,988876,1.098612289,1.791759469,2.197224577,6.259581464,1.971374848,2.441352867,16.30828137,13.80432523,2.079441542,6.257667588,1.821405947,2.350286354,16.30828129,13.80432422,1.833807526,0.599608701,0.854537174,2.791673033,2.624981893
"ATAC_JV_adipose/samples/AC2/MSC72/problems/chr10:51448845-125869472",2,4,7,814,6.129520046,12.76556871,74420627,5878077,1.098612289,1.609437912,2.079441542,6.703188113,1.964243917,2.622170453,18.12524372,15.5867404,1.945910149,6.701960366,1.813116451,2.546751602,18.12524371,15.58674023,1.902400076,0.595047161,0.934818665,2.897305646,2.746420567
"ATAC_JV_adipose/samples/AC2/MSC72/problems/chr12:145739-7189876",3,6,9,995,8.274039673,17.67215862,7044137,708155,1.386294361,1.945910149,2.302585093,6.903747258,2.227219064,2.927033571,15.76770634,13.47041969,2.197224577,6.902742737,2.113122863,2.871990442,15.7677062,13.47041828,1.931918831,0.748166883,1.055005323,2.757963937,2.600496042
"ATAC_JV_adipose/samples/AC2/MSC72/problems/chr12:66500000-109373470",2,4,6,699,5.284465731,10.83170911,42873470,2982877,1.098612289,1.609437912,1.945910149,6.551080335,1.838080831,2.47078314,17.5737638,14.90839916,1.791759469,6.549650742,1.664771523,2.382477861,17.57376378,14.90839883,1.879411726,0.50968789,0.868141064,2.866407095,2.701924734
"ATAC_JV_adipose/samples/AC2/MSC72/problems/chr14:19050000-107289540",2,4,7,1018,5.88950466,12.74645139,88239540,6744361,1.098612289,1.609437912,2.079441542,6.926577033,1.92999919,2.62078071,18.29556573,15.72421745,1.945910149,6.925595197,1.773171896,2.545252911,18.29556572,15.72421731,1.935223997,0.572769974,0.934230021,2.90665872,2.755202028
"ATAC_JV_adipose/samples/AC2/MSC72/problems/chr16:46510000-88389383",3,5,8,734,6.722999525,13.83532213,41879383,3600910,1.386294361,1.791759469,2.197224577,6.599870499,2.044202828,2.697010968,17.55030424,15.09669743,2.079441542,6.598509029,1.905534413,2.627224897,17.55030421,15.09669715,1.886843719,0.644762501,0.965928117,2.865071284,2.714475988
"ATAC_JV_adipose/samples/AC2/MSC72/problems/chr1:206482221-223747846",2,4,7,652,5.970982979,12.06500654,17265625,1333519,1.098612289,1.609437912,2.079441542,6.481577129,1.941756245,2.5699374,16.66422815,14.10333262,1.945910149,6.480044562,1.786911567,2.490309241,16.66422809,14.10333187,1.868727387,0.580488748,0.912406896,2.813264391,2.646411072
"ATAC_JV_adipose/samples/AC2/MSC72/problems/chr22:20700000-50364777",3,6,9,1000,8.179432396,17.33398511,29664777,2986612,1.386294361,1.945910149,2.302585093,6.908754779,2.216965372,2.908756447,17.20547097,14.90965053,2.197224577,6.907755279,2.101622759,2.852669032,17.20547094,14.90965019,1.932644734,0.742709789,1.048255058,2.845227411,2.702008667
"ATAC_JV_adipose/samples/AC2/MSC72/problems/chr2:162200000-234003741",2,4,6,721,5.454449901,10.84220524,71803741,5150279,1.098612289,1.609437912,1.945910149,6.582025139,1.8647698,2.471669865,18.08944715,15.45456164,1.791759469,6.580639137,1.696431771,2.383446411,18.08944714,15.45456145,1.884131874,0.528527087,0.868547512,2.895328737,2.737904199
"ATAC_JV_adipose/samples/AC2/MSC72/problems/chr3:60000-66170270",2,5,7,914,6.235562795,12.18567309,66110270,5366893,1.098612289,1.791759469,2.079441542,6.818924065,1.979008145,2.579130868,18.00683468,15.4957599,1.945910149,6.817830571,1.830268839,2.500260925,18.00683466,15.49575971,1.919541323,0.604462863,0.916395096,2.890751389,2.74056642
"ATAC_JV_adipose/samples/AC2/MSC72/problems/chr6:60000-58087659",2,4,7,756,5.83968857,12.53692063,58027659,4337302,1.098612289,1.609437912,2.079441542,6.629363253,1.9227422,2.605420814,17.87643035,15.28276328,1.945910149,6.628041376,1.764677468,2.528677941,17.87643033,15.28276305,1.891309342,0.567967936,0.927696613,2.883483104,2.726725596
"ATAC_JV_adipose/samples/AC2/MSC72/problems/chr8:48135599-86500000",2,4,6,786,4.926045164,8.636353036,38364401,2582207,1.098612289,1.609437912,1.945910149,6.668228248,1.77935707,2.265542721,17.46264056,14.7641554,1.791759469,6.666956792,1.594536468,2.155980391,17.46264053,14.76415502,1.897163503,0.466583078,0.768245558,2.860063772,2.692202285
"ATAC_JV_adipose/samples/AC2/MSC72/problems/chr8:87000000-142766515",2,4,7,896,5.611008846,10.7921781,55766515,4121977,1.098612289,1.609437912,2.079441542,6.799055862,1.888736266,2.467436439,17.83668418,15.2318437,1.945910149,6.797940413,1.724730533,2.378821622,17.83668416,15.23184346,1.916619686,0.545070826,0.866605248,2.881257244,2.723388201
"ATAC_JV_adipose/samples/AC2/MSC72/problems/chrX:37148256-49242997",2,4,7,447,5.61758437,9.367852327,12094741,916494,1.098612289,1.609437912,2.079441542,6.104793232,1.889730405,2.338709896,16.30828137,13.72831189,1.945910149,6.102558595,1.725901744,2.237283863,16.30828129,13.7283108,1.808708125,0.545749664,0.805262569,2.791673033,2.619460182
"ATAC_JV_adipose/samples/AC2/MSC73/problems/chr10:51448845-125869472",3,6,9,986,7.753410745,14.2756213,74420627,7290519,1.386294361,1.945910149,2.302585093,6.894670039,2.169443424,2.726258179,18.12524372,15.80208543,2.197224577,6.893656355,2.048132843,2.658553278,18.12524371,15.80208529,1.93060162,0.71692857,0.977782095,2.897305646,2.760141912
"ATAC_JV_adipose/samples/AC2/MSC73/problems/chr12:145739-7189876",4,8,12,1038,10.69743803,19.62878748,7044137,897672,1.609437912,2.197224577,2.564949357,6.946013991,2.459369846,3.026687551,15.76770634,13.70756114,2.48490665,6.945051064,2.370004276,2.976997238,15.7677062,13.70756002,1.938029329,0.862891759,1.090915154,2.757963937,2.617947507
"ATAC_JV_adipose/samples/AC2/MSC73/problems/chr12:66500000-109373470",2,5,8,750,6.579750274,12.10304072,42873470,3646253,1.098612289,1.791759469,2.197224577,6.621405652,2.025480254,2.57284432,17.5737638,15.1092109,2.079441542,6.620073207,1.883996792,2.493456721,17.57376378,15.10921062,1.890106428,0.633395474,0.913669989,2.866407095,2.715304533
"ATAC_JV_adipose/samples/AC2/MSC73/problems/chr14:19050000-107289540",3,5,9,1039,7.473943348,14.18061836,88239540,8398476,1.386294361,1.791759469,2.302585093,6.946975992,2.136995967,2.720019507,18.29556573,15.94356094,2.197224577,6.946013991,2.011422751,2.651876128,18.29556572,15.94356082,1.938167969,0.698842308,0.975267362,2.90665872,2.769055037
"ATAC_JV_adipose/samples/AC2/MSC73/problems/chr16:46510000-88389383",4,6,10,828,8.671047589,15.52056458,41879383,4546359,1.609437912,1.945910149,2.397895273,6.720220155,2.269136638,2.804605943,17.55030424,15.32983747,2.302585093,6.719013154,2.159989613,2.742165892,17.55030421,15.32983725,1.904941292,0.770103413,1.00874808,2.865071284,2.729801076
"ATAC_JV_adipose/samples/AC2/MSC73/problems/chr1:206482221-223747846",3,6,9,842,7.563538013,13.51576288,17265625,1659454,1.386294361,1.945910149,2.302585093,6.736966958,2.147513424,2.675235154,16.66422815,14.32199979,2.197224577,6.735780014,2.023339072,2.603856625,16.66422809,14.32199919,1.907433618,0.704749153,0.956993663,2.813264391,2.66179676
"ATAC_JV_adipose/samples/AC2/MSC73/problems/chr22:20700000-50364777",5,8,12,960,10.71977443,19.19255276,29664777,3843377,1.791759469,2.197224577,2.564949357,6.867974409,2.461277538,3.005313861,17.20547097,15.16186223,2.48490665,6.866933284,2.372090114,2.954522327,17.20547094,15.16186197,1.926717614,0.863771471,1.083336989,2.845227411,2.718783194
"ATAC_JV_adipose/samples/AC2/MSC73/problems/chr2:162200000-234003741",3,5,8,862,6.815017716,12.32028299,71803741,6306516,1.386294361,1.791759469,2.197224577,6.760414691,2.056047231,2.589287911,18.08944715,15.6570941,2.079441542,6.759255271,1.919128665,2.511246928,18.08944714,15.65709394,1.910912717,0.651871263,0.920779414,2.895328737,2.750924101
"ATAC_JV_adipose/samples/AC2/MSC73/problems/chr3:60000-66170270",3,6,10,994,7.944596762,13.7148602,66110270,6692833,1.386294361,1.945910149,2.397895273,6.902742737,2.191049636,2.688857881,18.00683468,15.71654796,2.302585093,6.901737207,2.072492045,2.618479931,18.00683466,15.71654781,1.931773149,0.72875177,0.96259397,2.890751389,2.754714158
"ATAC_JV_adipose/samples/AC2/MSC73/problems/chr6:60000-58087659",2,5,9,869,7.399960784,13.96341778,58027659,5399428,1.098612289,1.791759469,2.302585093,6.768493212,2.128227037,2.705608408,17.87643035,15.50180377,2.197224577,6.767343125,2.001474701,2.636440894,17.87643033,15.50180358,1.912108562,0.693884259,0.969429861,2.883483104,2.740956377
"ATAC_JV_adipose/samples/AC2/MSC73/problems/chr8:48135599-86500000",2,5,8,866,6.141829661,9.628712988,38364401,3159240,1.098612289,1.791759469,2.197224577,6.765038977,1.965968999,2.363559111,17.46264056,14.96584237,2.079441542,6.763884909,1.815122688,2.264749571,17.46264053,14.96584205,1.911597416,0.596153062,0.817464188,2.860063772,2.705770408
"ATAC_JV_adipose/samples/AC2/MSC73/problems/chr8:87000000-142766515",3,5,9,971,7.046346199,11.89860158,55766515,5090303,1.386294361,1.791759469,2.302585093,6.879355804,2.0852181,2.557118901,17.83668418,15.44284811,2.197224577,6.878326468,1.952509213,2.476420879,17.83668416,15.44284792,1.928375376,0.669115321,0.906814324,2.881257244,2.737145978
"ATAC_JV_adipose/samples/AC2/MSC73/problems/chrX:37148256-49242997",3,6,9,556,7.206369363,10.82460004,12094741,1146627,1.386294361,1.945910149,2.302585093,6.32256524,2.104910604,2.47018211,16.30828137,13.95233602,2.197224577,6.320768294,1.974965269,2.381821325,16.30828129,13.95233515,1.843840766,0.680550813,0.867865458,2.791673033,2.635646888
"ATAC_JV_adipose/samples/AC2/MSC74/problems/chr10:51448845-125869472",4,8,12,547,9.26979903,9.34448513,74420627,8977613,1.609437912,2.197224577,2.564949357,6.306275287,2.329207455,2.33645354,18.12524372,16.0102447,2.48490665,6.304448802,2.2267617,2.234786344,18.12524371,16.01024459,1.841255543,0.800548378,0.804145628,2.897305646,2.773228804
"ATAC_JV_adipose/samples/AC2/MSC74/problems/chr12:145739-7189876",6,10,15,585,12.02618064,12.2806106,7044137,1061435,1.945910149,2.397895273,2.772588722,6.37331979,2.566961228,2.586305122,15.76770634,13.87513327,2.708050201,6.371611847,2.487085993,2.508021645,15.7677062,13.87513232,1.851852475,0.911111741,0.919494253,2.757963937,2.630098196
"ATAC_JV_adipose/samples/AC2/MSC74/problems/chr12:66500000-109373470",4,7,11,477,7.940470156,7.860122438,42873470,4522033,1.609437912,2.079441542,2.48490665,6.169610732,2.190588178,2.181560584,17.5737638,15.32447245,2.397895273,6.167516491,2.071972487,2.061802184,17.57376378,15.32447223,1.819296243,0.728501046,0.723580447,2.866407095,2.729451043
"ATAC_JV_adipose/samples/AC2/MSC74/problems/chr14:19050000-107289540",4,8,12,503,9.047525259,9.240532881,88239540,10430126,1.609437912,2.197224577,2.564949357,6.222576268,2.307326361,2.326353657,18.29556573,16.160209,2.48490665,6.22059017,2.202491268,2.223599555,18.29556572,16.16020891,1.827864785,0.789589114,0.799127304,2.90665872,2.78255198
"ATAC_JV_adipose/samples/AC2/MSC74/problems/chr16:46510000-88389383",5,9,14,482,10.4795191,10.09964382,41879383,5645578,1.791759469,2.302585093,2.708050201,6.180016654,2.4405645,2.40691302,17.55030424,15.54638332,2.63905733,6.177944114,2.34942279,2.312500158,17.55030421,15.54638314,1.820985548,0.854169677,0.838329259,2.865071284,2.743828016
"ATAC_JV_adipose/samples/AC2/MSC74/problems/chr1:206482221-223747846",4,8,12,447,9.166366233,8.886378608,17265625,2065547,1.609437912,2.197224577,2.564949357,6.104793232,2.319084844,2.291157912,16.66422815,14.54090612,2.48490665,6.102558595,2.215540941,2.184519611,16.66422809,14.54090564,1.808708125,0.795496591,0.781395947,2.813264391,2.676965756
"ATAC_JV_adipose/samples/AC2/MSC74/problems/chr22:20700000-50364777",6,11,16,565,12.24123121,11.88172722,29664777,4578230,1.945910149,2.48490665,2.833213344,6.338594078,2.583335538,2.555809812,17.20547097,15.33682324,2.772588722,6.336825731,2.504809861,2.475001692,17.20547094,15.33682302,1.84637797,0.918212828,0.90624108,2.845227411,2.73025667
"ATAC_JV_adipose/samples/AC2/MSC74/problems/chr2:162200000-234003741",4,7,11,412,8.23286543,8.110612634,71803741,7821665,1.609437912,2.079441542,2.48490665,6.023447593,2.222769448,2.209439958,18.08944715,15.87240813,2.397895273,6.021023349,2.108134123,2.093173406,18.08944714,15.87240801,1.795257236,0.745803254,0.73868129,2.895328737,2.764582256
"ATAC_JV_adipose/samples/AC2/MSC74/problems/chr3:60000-66170270",5,8,13,518,9.803890485,9.131356085,66110270,8416346,1.791759469,2.197224577,2.63905733,6.251903883,2.379906299,2.315635178,18.00683468,15.94568644,2.564949357,6.249975242,2.282779295,2.211714214,18.00683466,15.94568633,1.832577503,0.82539369,0.793767877,2.890751389,2.769188343
"ATAC_JV_adipose/samples/AC2/MSC74/problems/chr6:60000-58087659",4,7,12,470,8.810356558,9.267481084,58027659,6633875,1.609437912,2.079441542,2.564949357,6.154858094,2.283438619,2.328981724,17.87643035,15.70769981,2.48490665,6.152732695,2.175927911,2.226511615,17.87643033,15.70769966,1.816896324,0.777455199,0.800436062,2.883483104,2.754151016
"ATAC_JV_adipose/samples/AC2/MSC74/problems/chr8:48135599-86500000",4,7,11,488,7.853073426,7.003317859,38364401,4036825,1.609437912,2.079441542,2.48490665,6.192362489,2.180764679,2.079856188,17.46264056,15.2109693,2.397895273,6.190315406,2.060904974,1.946384017,17.46264053,15.21096905,1.822986039,0.723145194,0.665973301,2.860063772,2.722016816
"ATAC_JV_adipose/samples/AC2/MSC74/problems/chr8:87000000-142766515",4,7,11,511,8.658851607,8.185753385,55766515,6359081,1.609437912,2.079441542,2.48490665,6.238324625,2.26787476,2.217653739,17.83668418,15.66539459,2.397895273,6.23636959,2.158582105,2.102395251,17.83668416,15.66539443,1.830398217,0.769451573,0.743077291,2.881257244,2.751454103
"ATAC_JV_adipose/samples/AC2/MSC74/problems/chrX:37148256-49242997",5,8,12,312,9.232611926,7.574418936,12094741,1475678,1.791759469,2.197224577,2.564949357,5.746203191,2.325579868,2.148783228,16.30828137,14.20462878,2.48490665,5.743003188,2.222741991,2.02477664,16.30828129,14.2046281,1.747982277,0.798741565,0.705459393,2.791673033,2.653567834
