sequenceID,fold
H3K9me3_TDH_BP/samples/mantle/ERS333895/problems/chr5:100000-17500000,4
H3K9me3_TDH_BP/samples/mantle/ERS333895/problems/chr6:62178589-95680543,1
H3K9me3_TDH_BP/samples/mantle/ERS333895/problems/chr7:62500000-74715724,3
H3K9me3_TDH_BP/samples/mantle/ERS333895/problems/chr8:48135599-86500000,3
H3K9me3_TDH_BP/samples/mantle/ERS333896/problems/chr4:68270000-75427379,1
H3K9me3_TDH_BP/samples/mantle/ERS333896/problems/chr4:75452279-190000000,2
H3K9me3_TDH_BP/samples/mantle/ERS333896/problems/chr5:100000-17500000,4
H3K9me3_TDH_BP/samples/mantle/ERS333896/problems/chr6:62178589-95680543,1
H3K9me3_TDH_BP/samples/mantle/ERS333896/problems/chr7:62500000-74715724,3
H3K9me3_TDH_BP/samples/mantle/ERS333896/problems/chr8:48135599-86500000,3
H3K9me3_TDH_BP/samples/tcell/ERS164475/problems/chr4:68270000-75427379,1
H3K9me3_TDH_BP/samples/tcell/ERS164475/problems/chr4:75452279-190000000,2
H3K9me3_TDH_BP/samples/tcell/ERS164475/problems/chr5:100000-17500000,4
H3K9me3_TDH_BP/samples/tcell/ERS164475/problems/chr6:62178589-95680543,1
H3K9me3_TDH_BP/samples/tcell/ERS164475/problems/chr7:62500000-74715724,3
H3K9me3_TDH_BP/samples/tcell/ERS164475/problems/chr8:48135599-86500000,3
H3K9me3_TDH_BP/samples/tcell/ERS206539/problems/chr4:68270000-75427379,1
H3K9me3_TDH_BP/samples/tcell/ERS206539/problems/chr4:75452279-190000000,2
H3K9me3_TDH_BP/samples/tcell/ERS206539/problems/chr5:100000-17500000,4
H3K9me3_TDH_BP/samples/tcell/ERS206539/problems/chr6:62178589-95680543,1
H3K9me3_TDH_BP/samples/tcell/ERS206539/problems/chr7:62500000-74715724,3
H3K9me3_TDH_BP/samples/tcell/ERS206539/problems/chr8:48135599-86500000,3
H3K9me3_TDH_BP/samples/tcell/ERS206601/problems/chr4:68270000-75427379,1
H3K9me3_TDH_BP/samples/tcell/ERS206601/problems/chr4:75452279-190000000,2
H3K9me3_TDH_BP/samples/tcell/ERS206601/problems/chr5:100000-17500000,4
H3K9me3_TDH_BP/samples/tcell/ERS206601/problems/chr6:62178589-95680543,1
H3K9me3_TDH_BP/samples/tcell/ERS206601/problems/chr7:62500000-74715724,3
H3K9me3_TDH_BP/samples/tcell/ERS206601/problems/chr8:48135599-86500000,3
H3K9me3_TDH_BP/samples/tcell/ERS358697/problems/chr4:68270000-75427379,1
H3K9me3_TDH_BP/samples/tcell/ERS358697/problems/chr4:75452279-190000000,2
H3K9me3_TDH_BP/samples/tcell/ERS358697/problems/chr5:100000-17500000,4
H3K9me3_TDH_BP/samples/tcell/ERS358697/problems/chr6:62178589-95680543,1
H3K9me3_TDH_BP/samples/tcell/ERS358697/problems/chr7:62500000-74715724,3
H3K9me3_TDH_BP/samples/tcell/ERS358697/problems/chr8:48135599-86500000,3
