sequenceID,min.log.lambda,max.log.lambda
H3K4me1_TDH_BP/samples/leukemia/ERS466414/problems/chr5:91686128-138787073,9.9422736596657,13.7848479066355
H3K4me1_TDH_BP/samples/leukemia/ERS466415/problems/chr1:149509645-205922707,10.9941334258288,13.2044111416637
H3K4me1_TDH_BP/samples/leukemia/ERS466415/problems/chr2:162200000-234003741,10.3246673398371,10.6191572619371
H3K4me1_TDH_BP/samples/leukemia/ERS466415/problems/chr2:16329724-21153113,10.8604880242007,12.9002921843527
H3K4me1_TDH_BP/samples/leukemia/ERS466415/problems/chr3:60000-66170270,10.3943925579426,Inf
H3K4me1_TDH_BP/samples/leukemia/ERS466415/problems/chr4:75452279-190000000,9.85497345982632,10.9328136097609
H3K4me1_TDH_BP/samples/leukemia/ERS466415/problems/chr5:91686128-138787073,9.66249724723018,14.0540722881191
H3K4me1_TDH_BP/samples/macrophage/ERS257336/problems/chr1:149509645-205922707,10.2550692980295,10.5968802333909
H3K4me1_TDH_BP/samples/macrophage/ERS257336/problems/chr2:162200000-234003741,9.63972840631189,11.7460093950783
H3K4me1_TDH_BP/samples/macrophage/ERS257336/problems/chr2:16329724-21153113,10.4861109437771,12.8164565633827
H3K4me1_TDH_BP/samples/macrophage/ERS257336/problems/chr3:60000-66170270,9.72484628339668,11.7456010803587
H3K4me1_TDH_BP/samples/macrophage/ERS257336/problems/chr4:75452279-190000000,10.4038190441646,13.5186491355228
H3K4me1_TDH_BP/samples/macrophage/ERS257336/problems/chr5:91686128-138787073,10.811904667439,11.563673277072
H3K4me1_TDH_BP/samples/macrophage/ERS257378/problems/chr1:149509645-205922707,10.2538883690796,10.5712815997676
H3K4me1_TDH_BP/samples/macrophage/ERS257378/problems/chr2:162200000-234003741,9.97587368077755,11.1413211772527
H3K4me1_TDH_BP/samples/macrophage/ERS257378/problems/chr2:16329724-21153113,10.8864712007945,13.402855166729
H3K4me1_TDH_BP/samples/macrophage/ERS257378/problems/chr3:60000-66170270,10.1308939729635,11.4247388609303
H3K4me1_TDH_BP/samples/macrophage/ERS257378/problems/chr4:75452279-190000000,10.1014607888168,13.5952004755749
H3K4me1_TDH_BP/samples/macrophage/ERS257378/problems/chr5:91686128-138787073,10.7024201775517,11.2811784901253
H3K4me1_TDH_BP/samples/macrophage/ERS358691/problems/chr1:149509645-205922707,10.1519805752132,10.2769138452061
H3K4me1_TDH_BP/samples/macrophage/ERS358691/problems/chr2:162200000-234003741,10.2537337400628,11.656288168217
H3K4me1_TDH_BP/samples/macrophage/ERS358691/problems/chr2:16329724-21153113,10.7372819928651,11.1979935209616
H3K4me1_TDH_BP/samples/macrophage/ERS358691/problems/chr3:60000-66170270,11.0072706729103,11.7694717697857
H3K4me1_TDH_BP/samples/macrophage/ERS358691/problems/chr4:75452279-190000000,10.6314316077566,13.6974075060959
H3K4me1_TDH_BP/samples/macrophage/ERS358691/problems/chr5:91686128-138787073,11.5755417274523,12.2000370863903
H3K4me1_TDH_BP/samples/macrophage/ERS358696/problems/chr1:149509645-205922707,9.73651450938106,9.76129471816128
H3K4me1_TDH_BP/samples/macrophage/ERS358696/problems/chr2:162200000-234003741,10.2547525971338,11.2436755819402
H3K4me1_TDH_BP/samples/macrophage/ERS358696/problems/chr2:16329724-21153113,10.5625643264059,12.4839914415619
H3K4me1_TDH_BP/samples/macrophage/ERS358696/problems/chr3:60000-66170270,10.3743861075079,12.3161179105178
H3K4me1_TDH_BP/samples/macrophage/ERS358696/problems/chr4:75452279-190000000,10.3039677336208,12.7706663021031
H3K4me1_TDH_BP/samples/macrophage/ERS358696/problems/chr5:91686128-138787073,10.7364934937651,11.6848632949299
H3K4me1_TDH_BP/samples/macrophage/ERS422247/problems/chr1:149509645-205922707,9.32011584906602,9.6813793973838
H3K4me1_TDH_BP/samples/macrophage/ERS422247/problems/chr2:162200000-234003741,10.0579664885964,10.9380753033391
H3K4me1_TDH_BP/samples/macrophage/ERS422247/problems/chr2:16329724-21153113,10.6811357784357,11.1949257027699
H3K4me1_TDH_BP/samples/macrophage/ERS422247/problems/chr3:60000-66170270,10.380406777833,11.754226126154
H3K4me1_TDH_BP/samples/macrophage/ERS422247/problems/chr4:75452279-190000000,10.4655053827606,12.2006364319977
H3K4me1_TDH_BP/samples/macrophage/ERS422247/problems/chr5:91686128-138787073,10.5875108380232,11.0371322437683
H3K4me1_TDH_BP/samples/mantle/ERS333895/problems/chr1:149509645-205922707,10.3766683983324,11.7748575845674
H3K4me1_TDH_BP/samples/mantle/ERS333895/problems/chr2:162200000-234003741,10.4940004974585,11.8106237414339
H3K4me1_TDH_BP/samples/mantle/ERS333895/problems/chr2:16329724-21153113,9.88753233108131,10.1145003206749
H3K4me1_TDH_BP/samples/mantle/ERS333895/problems/chr3:60000-66170270,10.1050930919598,Inf
H3K4me1_TDH_BP/samples/mantle/ERS333895/problems/chr4:75452279-190000000,11.1240362737757,12.7676228274745
H3K4me1_TDH_BP/samples/mantle/ERS333895/problems/chr5:91686128-138787073,10.38753296729,14.4376492491386
H3K4me1_TDH_BP/samples/mantle/ERS333896/problems/chr1:149509645-205922707,10.9183977566709,13.8371979301588
H3K4me1_TDH_BP/samples/mantle/ERS333896/problems/chr2:162200000-234003741,10.0692105029577,11.764510510305
H3K4me1_TDH_BP/samples/mantle/ERS333896/problems/chr2:16329724-21153113,9.44232202299267,9.87403520080432
H3K4me1_TDH_BP/samples/mantle/ERS333896/problems/chr3:60000-66170270,10.293582928495,Inf
H3K4me1_TDH_BP/samples/mantle/ERS333896/problems/chr4:75452279-190000000,9.90361751098794,12.3542372613412
H3K4me1_TDH_BP/samples/mantle/ERS333896/problems/chr5:91686128-138787073,9.94912243623664,13.5031685792709
H3K4me1_TDH_BP/samples/myeloid/ERS255951/problems/chr1:149509645-205922707,9.87174535644727,10.9495200371216
H3K4me1_TDH_BP/samples/myeloid/ERS255951/problems/chr2:162200000-234003741,10.9132621925638,12.3504170920874
H3K4me1_TDH_BP/samples/myeloid/ERS255951/problems/chr2:16329724-21153113,12.3368810722406,Inf
H3K4me1_TDH_BP/samples/myeloid/ERS255951/problems/chr3:60000-66170270,10.1270447284625,11.6820276009037
H3K4me1_TDH_BP/samples/myeloid/ERS255951/problems/chr4:75452279-190000000,10.3730315525689,12.0717716893562
H3K4me1_TDH_BP/samples/myeloid/ERS255951/problems/chr5:91686128-138787073,10.3245488950826,11.0465694182017
H3K4me1_TDH_BP/samples/myeloid/ERS365962/problems/chr1:149509645-205922707,9.65378524518369,10.3323959652986
H3K4me1_TDH_BP/samples/myeloid/ERS365962/problems/chr2:162200000-234003741,10.5595618105293,11.8680598019466
H3K4me1_TDH_BP/samples/myeloid/ERS365962/problems/chr2:16329724-21153113,11.6226038649582,Inf
H3K4me1_TDH_BP/samples/myeloid/ERS365962/problems/chr3:60000-66170270,10.4831764166014,10.9009200436912
H3K4me1_TDH_BP/samples/myeloid/ERS365962/problems/chr4:75452279-190000000,10.2439471416032,12.0350218469546
H3K4me1_TDH_BP/samples/myeloid/ERS365962/problems/chr5:91686128-138787073,10.0113945702146,11.2761449013912
H3K4me1_TDH_BP/samples/myeloid/ERS365963/problems/chr1:149509645-205922707,10.0938052774109,11.5414461849954
H3K4me1_TDH_BP/samples/myeloid/ERS365963/problems/chr2:162200000-234003741,10.7958535925465,11.9781651028766
H3K4me1_TDH_BP/samples/myeloid/ERS365963/problems/chr2:16329724-21153113,12.1056654352896,Inf
H3K4me1_TDH_BP/samples/myeloid/ERS365963/problems/chr3:60000-66170270,10.6444592693812,Inf
H3K4me1_TDH_BP/samples/myeloid/ERS365963/problems/chr4:75452279-190000000,10.6031324580712,11.273065493153
H3K4me1_TDH_BP/samples/myeloid/ERS365963/problems/chr5:91686128-138787073,10.2911566594962,10.3576123392584
H3K4me1_TDH_BP/samples/myeloid/ERS365965/problems/chr1:149509645-205922707,9.66906964711247,11.55869957024
H3K4me1_TDH_BP/samples/myeloid/ERS365965/problems/chr2:162200000-234003741,10.0729589420173,12.1446267805185
H3K4me1_TDH_BP/samples/myeloid/ERS365965/problems/chr2:16329724-21153113,12.3763728171338,Inf
H3K4me1_TDH_BP/samples/myeloid/ERS365965/problems/chr3:60000-66170270,10.244464836858,10.9496494014002
H3K4me1_TDH_BP/samples/myeloid/ERS365965/problems/chr4:75452279-190000000,10.3009261920792,12.6112612724112
H3K4me1_TDH_BP/samples/myeloid/ERS365965/problems/chr5:91686128-138787073,10.6236802833317,11.9856963612832
H3K4me1_TDH_BP/samples/myeloid/ERS365966/problems/chr1:149509645-205922707,9.78281135036496,10.3899533898468
H3K4me1_TDH_BP/samples/myeloid/ERS365966/problems/chr2:162200000-234003741,10.462831249265,11.6107236619829
H3K4me1_TDH_BP/samples/myeloid/ERS365966/problems/chr2:16329724-21153113,11.4411456942388,Inf
H3K4me1_TDH_BP/samples/myeloid/ERS365966/problems/chr3:60000-66170270,10.4558027377786,10.5728437995938
H3K4me1_TDH_BP/samples/myeloid/ERS365966/problems/chr4:75452279-190000000,10.3616366044578,11.8825848585332
H3K4me1_TDH_BP/samples/myeloid/ERS365966/problems/chr5:91686128-138787073,10.1741279821454,10.8525293580894
H3K4me1_TDH_BP/samples/tcell/ERS164475/problems/chr1:149509645-205922707,12.8376245814125,14.837773437801
H3K4me1_TDH_BP/samples/tcell/ERS164475/problems/chr2:162200000-234003741,12.3188888643887,13.2618993306882
H3K4me1_TDH_BP/samples/tcell/ERS164475/problems/chr2:16329724-21153113,11.2594986631219,12.5137465489576
H3K4me1_TDH_BP/samples/tcell/ERS164475/problems/chr3:60000-66170270,10.5973486365685,13.8732039157756
H3K4me1_TDH_BP/samples/tcell/ERS164475/problems/chr4:75452279-190000000,10.3223766868175,12.5429827122195
H3K4me1_TDH_BP/samples/tcell/ERS164475/problems/chr5:91686128-138787073,10.3051538823357,12.311091953414
H3K4me1_TDH_BP/samples/tcell/ERS206539/problems/chr1:149509645-205922707,11.5294451686941,13.8376918578408
H3K4me1_TDH_BP/samples/tcell/ERS206539/problems/chr2:162200000-234003741,10.5916430939896,11.4802579732057
H3K4me1_TDH_BP/samples/tcell/ERS206539/problems/chr2:16329724-21153113,10.7469190391741,11.870776669368
H3K4me1_TDH_BP/samples/tcell/ERS206539/problems/chr3:60000-66170270,10.4574704914457,Inf
H3K4me1_TDH_BP/samples/tcell/ERS206539/problems/chr4:75452279-190000000,10.3901708743459,12.6015206289029
H3K4me1_TDH_BP/samples/tcell/ERS206539/problems/chr5:91686128-138787073,9.71075869023817,10.2217205390359
H3K4me1_TDH_BP/samples/tcell/ERS206601/problems/chr1:149509645-205922707,12.1825472385585,13.9672956123224
H3K4me1_TDH_BP/samples/tcell/ERS206601/problems/chr2:162200000-234003741,10.4206534423808,12.3680550765941
H3K4me1_TDH_BP/samples/tcell/ERS206601/problems/chr2:16329724-21153113,11.2309734326297,11.2392387193166
H3K4me1_TDH_BP/samples/tcell/ERS206601/problems/chr3:60000-66170270,10.2775349686466,12.8564492476289
H3K4me1_TDH_BP/samples/tcell/ERS206601/problems/chr4:75452279-190000000,10.3360439246286,12.4120197933389
H3K4me1_TDH_BP/samples/tcell/ERS206601/problems/chr5:91686128-138787073,10.5329123281344,11.0423265044248
H3K4me1_TDH_BP/samples/tcell/ERS358697/problems/chr1:149509645-205922707,11.1859712866151,13.8303403920782
H3K4me1_TDH_BP/samples/tcell/ERS358697/problems/chr2:162200000-234003741,10.5513501914877,12.1751627880486
H3K4me1_TDH_BP/samples/tcell/ERS358697/problems/chr2:16329724-21153113,10.6398438057296,10.7795654809183
H3K4me1_TDH_BP/samples/tcell/ERS358697/problems/chr3:60000-66170270,10.1221951634532,12.792516065677
H3K4me1_TDH_BP/samples/tcell/ERS358697/problems/chr4:75452279-190000000,9.93529481710983,11.8180332114564
H3K4me1_TDH_BP/samples/tcell/ERS358697/problems/chr5:91686128-138787073,9.71341587709888,10.8414958982649
