sequenceID,labelStart,labelEnd,annotation,max.changes,min.changes,color,possible.fn,possible.fp
339_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
558_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
552_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
408_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
556_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
414_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
539_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
532_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
296_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
399_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
346_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
554_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
401_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
540_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
359_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
597_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
358_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
525_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
530_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
170_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
186_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
542_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
391_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
528_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
478_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
178_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
165_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
251_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
319_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
451_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
529_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
411_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
531_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
229_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
560_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
527_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
523_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
477_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
418_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
413_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
535_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
557_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
596_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
481_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
541_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
534_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
537_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
397_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
526_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
536_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
122_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
559_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
338_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
551_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
543_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
524_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
390_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
308_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
355_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
415_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
515_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
284_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
143_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
134_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
262_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
25_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
118_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
49_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
140_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
97_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
239_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
85_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
169_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
498_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
26_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
312_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
137_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
360_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
130_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
139_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
95_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
132_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
34_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
43_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
16_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
158_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
492_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
283_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
70_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
458_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
455_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
459_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
460_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
449_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
242_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
438_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
425_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
62_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
445_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
193_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
99_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
48_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
264_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
286_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
197_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
187_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
444_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
265_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
302_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
295_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
389_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
269_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
230_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
96_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
11_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
87_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
63_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
300_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
305_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
92_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
267_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
379_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
290_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
291_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
304_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
299_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
10_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
24_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
100_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
366_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
199_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
369_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
219_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
238_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
198_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
208_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
301_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
436_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
210_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
117_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
214_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
133_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
15_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
330_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
274_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
287_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
289_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
101_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
332_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
14_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
249_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
232_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
323_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
277_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
106_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
12_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
189_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
113_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
57_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
18_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
66_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
204_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
314_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
44_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
5_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
112_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
8_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
81_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
121_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
270_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
245_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
173_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
149_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
114_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
310_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
91_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
191_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
188_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
503_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
40_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
94_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
248_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
168_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
234_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
201_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
20_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
220_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
593_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
594_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
194_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
209_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
268_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
598_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
364_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
352_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
555_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
592_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
247_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
162_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
115_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
155_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
39_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
29_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
103_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
182_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
233_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
329_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
260_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
504_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
104_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
356_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
226_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
68_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
228_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
7_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
2_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
257_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
275_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
282_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
488_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
50_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
145_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
235_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
150_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
211_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
128_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
215_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
46_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
400_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
147_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
77_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
258_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
4_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
331_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
27_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
119_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
123_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
102_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
131_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
172_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
28_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
599_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
216_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
316_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
474_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
591_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
202_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
482_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
419_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
508_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
495_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
479_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
30_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
217_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
136_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
6_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
175_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
124_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
325_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
572_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
409_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
337_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
348_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
583_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
395_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
423_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
196_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
218_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
205_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
166_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
468_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
353_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
576_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
602_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
476_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
574_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
567_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
424_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
507_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
519_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
206_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
154_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
141_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
72_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
54_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
127_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
212_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
327_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
440_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
324_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
429_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
9_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
261_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
252_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
336_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
446_chr11,53700000,135006516,breakpoint,Inf,1,#a445ee,1,0
244_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
371_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
144_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
378_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
51_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
13_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
45_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
32_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
74_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
21_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
78_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
142_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
93_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
19_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
223_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
255_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
321_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
278_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
246_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
448_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
373_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
427_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
163_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
447_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
177_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
442_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
428_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
456_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
443_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
430_chr11,53700000,135006516,normal,0,0,#f6f4bf,0,1
